pid,lon,lat,date,baseheading,viewheading,view_idx,path,dist_m
1026,11.346662308890853,44.49644620680509,202410,109.72,19.72,4,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1026_11.346662308890853_44.49644620680509_202410_baseheading109.72_viewheading19.72_4.jpg,0.04147022666692059
1026,11.346662308890853,44.49644620680509,202410,109.72,199.72,2,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1026_11.346662308890853_44.49644620680509_202410_baseheading109.72_viewheading199.72_2.jpg,0.04147022666692059
1027,11.34650141966158,44.49652731663216,202410,110.66,20.66,4,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1027_11.34650141966158_44.49652731663216_202410_baseheading110.66_viewheading20.66_4.jpg,1.6383475511719359
1027,11.34650141966158,44.49652731663216,202410,110.66,200.66,2,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1027_11.34650141966158_44.49652731663216_202410_baseheading110.66_viewheading200.66_2.jpg,1.6383475511719359
1028,11.346496203144095,44.49652988835161,202410,110.66,20.66,4,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1028_11.346496203144095_44.49652988835161_202410_baseheading110.66_viewheading20.66_4.jpg,1.8979953393459308
1028,11.346496203144095,44.49652988835161,202410,110.66,200.66,2,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1028_11.346496203144095_44.49652988835161_202410_baseheading110.66_viewheading200.66_2.jpg,1.8979953393459308
1029,11.34683530380958,44.495758481184126,202008,199.55,109.55,4,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1029_11.34683530380958_44.495758481184126_202008_baseheading199.55_viewheading109.55_4.jpg,1.6635972281754463
1029,11.34683530380958,44.495758481184126,202008,199.55,289.55,2,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1029_11.34683530380958_44.495758481184126_202008_baseheading199.55_viewheading289.55_2.jpg,1.6635972281754463
1030,11.346836747950315,44.495927042787365,202008,187.12,277.12,2,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1030_11.346836747950315_44.495927042787365_202008_baseheading187.12_viewheading277.12_2.jpg,4.043113725862678
1030,11.346836747950315,44.495927042787365,202008,187.12,97.12,4,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1030_11.346836747950315_44.495927042787365_202008_baseheading187.12_viewheading97.12_4.jpg,4.043113725862678
1031,11.346819778847637,44.49610309730044,202008,171.51,261.51,2,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1031_11.346819778847637_44.49610309730044_202008_baseheading171.51_viewheading261.51_2.jpg,5.948579220244129
1031,11.346819778847637,44.49610309730044,202008,171.51,81.51,4,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1031_11.346819778847637_44.49610309730044_202008_baseheading171.51_viewheading81.51_4.jpg,5.948579220244129
1032,11.34681947394834,44.49628299423988,202008,190.92,100.92,4,D:\Claude\SVI_FFW\SVI\Bologna\Bologna SVI\1032_11.34681947394834_44.49628299423988_202008_baseheading190.92_viewheading100.92_4.jpg,8.616565940017146
