filename,split,col_off,row_off,width,height,transform_a,transform_b,transform_c,transform_d,transform_e,transform_f,xmin,ymin,xmax,ymax,crs
tile_x73472_y1792.png,val,73472,1792,1024,1024,0.3,0.0,24709.13799999727,0.0,-0.3,49718.620999663624,24709.13799999727,49411.42099966362,25016.33799999727,49718.620999663624,EPSG:3414
tile_x74368_y1792.png,val,74368,1792,1024,1024,0.3,0.0,24977.93799999727,0.0,-0.3,49718.620999663624,24977.93799999727,49411.42099966362,25285.13799999727,49718.620999663624,EPSG:3414
tile_x77056_y4480.png,train,77056,4480,1024,1024,0.3,0.0,25784.33799999727,0.0,-0.3,48912.22099966362,25784.33799999727,48605.020999663626,26091.537999997272,48912.22099966362,EPSG:3414
tile_x77056_y5376.png,train,77056,5376,1024,1024,0.3,0.0,25784.33799999727,0.0,-0.3,48643.42099966362,25784.33799999727,48336.22099966362,26091.537999997272,48643.42099966362,EPSG:3414
tile_x82432_y5376.png,train,82432,5376,1024,1024,0.3,0.0,27397.13799999727,0.0,-0.3,48643.42099966362,27397.13799999727,48336.22099966362,27704.33799999727,48643.42099966362,EPSG:3414
tile_x83328_y5376.png,train,83328,5376,1024,1024,0.3,0.0,27665.93799999727,0.0,-0.3,48643.42099966362,27665.93799999727,48336.22099966362,27973.13799999727,48643.42099966362,EPSG:3414
tile_x84224_y5376.png,train,84224,5376,1024,1024,0.3,0.0,27934.737999997273,0.0,-0.3,48643.42099966362,27934.737999997273,48336.22099966362,28241.93799999727,48643.42099966362,EPSG:3414
tile_x77056_y6272.png,train,77056,6272,1024,1024,0.3,0.0,25784.33799999727,0.0,-0.3,48374.620999663624,25784.33799999727,48067.42099966362,26091.537999997272,48374.620999663624,EPSG:3414
tile_x77952_y6272.png,train,77952,6272,1024,1024,0.3,0.0,26053.13799999727,0.0,-0.3,48374.620999663624,26053.13799999727,48067.42099966362,26360.33799999727,48374.620999663624,EPSG:3414
tile_x78848_y6272.png,train,78848,6272,1024,1024,0.3,0.0,26321.93799999727,0.0,-0.3,48374.620999663624,26321.93799999727,48067.42099966362,26629.13799999727,48374.620999663624,EPSG:3414
tile_x79744_y6272.png,train,79744,6272,1024,1024,0.3,0.0,26590.737999997273,0.0,-0.3,48374.620999663624,26590.737999997273,48067.42099966362,26897.93799999727,48374.620999663624,EPSG:3414
tile_x83328_y6272.png,train,83328,6272,1024,1024,0.3,0.0,27665.93799999727,0.0,-0.3,48374.620999663624,27665.93799999727,48067.42099966362,27973.13799999727,48374.620999663624,EPSG:3414
tile_x77056_y7168.png,train,77056,7168,1024,1024,0.3,0.0,25784.33799999727,0.0,-0.3,48105.82099966362,25784.33799999727,47798.620999663624,26091.537999997272,48105.82099966362,EPSG:3414
tile_x77952_y7168.png,train,77952,7168,1024,1024,0.3,0.0,26053.13799999727,0.0,-0.3,48105.82099966362,26053.13799999727,47798.620999663624,26360.33799999727,48105.82099966362,EPSG:3414
tile_x78848_y7168.png,train,78848,7168,1024,1024,0.3,0.0,26321.93799999727,0.0,-0.3,48105.82099966362,26321.93799999727,47798.620999663624,26629.13799999727,48105.82099966362,EPSG:3414
tile_x79744_y7168.png,train,79744,7168,1024,1024,0.3,0.0,26590.737999997273,0.0,-0.3,48105.82099966362,26590.737999997273,47798.620999663624,26897.93799999727,48105.82099966362,EPSG:3414
tile_x81536_y7168.png,train,81536,7168,1024,1024,0.3,0.0,27128.33799999727,0.0,-0.3,48105.82099966362,27128.33799999727,47798.620999663624,27435.537999997272,48105.82099966362,EPSG:3414
tile_x82432_y7168.png,train,82432,7168,1024,1024,0.3,0.0,27397.13799999727,0.0,-0.3,48105.82099966362,27397.13799999727,47798.620999663624,27704.33799999727,48105.82099966362,EPSG:3414
tile_x65408_y8064.png,train,65408,8064,1024,1024,0.3,0.0,22289.93799999727,0.0,-0.3,47837.020999663626,22289.93799999727,47529.82099966362,22597.13799999727,47837.020999663626,EPSG:3414
tile_x66304_y8064.png,train,66304,8064,1024,1024,0.3,0.0,22558.737999997273,0.0,-0.3,47837.020999663626,22558.737999997273,47529.82099966362,22865.93799999727,47837.020999663626,EPSG:3414
tile_x72576_y8064.png,train,72576,8064,1024,1024,0.3,0.0,24440.33799999727,0.0,-0.3,47837.020999663626,24440.33799999727,47529.82099966362,24747.537999997272,47837.020999663626,EPSG:3414
tile_x76160_y8064.png,train,76160,8064,1024,1024,0.3,0.0,25515.537999997272,0.0,-0.3,47837.020999663626,25515.537999997272,47529.82099966362,25822.737999997273,47837.020999663626,EPSG:3414
tile_x77952_y8064.png,val,77952,8064,1024,1024,0.3,0.0,26053.13799999727,0.0,-0.3,47837.020999663626,26053.13799999727,47529.82099966362,26360.33799999727,47837.020999663626,EPSG:3414
tile_x78848_y8064.png,val,78848,8064,1024,1024,0.3,0.0,26321.93799999727,0.0,-0.3,47837.020999663626,26321.93799999727,47529.82099966362,26629.13799999727,47837.020999663626,EPSG:3414
tile_x79744_y8064.png,val,79744,8064,1024,1024,0.3,0.0,26590.737999997273,0.0,-0.3,47837.020999663626,26590.737999997273,47529.82099966362,26897.93799999727,47837.020999663626,EPSG:3414
tile_x81536_y8064.png,train,81536,8064,1024,1024,0.3,0.0,27128.33799999727,0.0,-0.3,47837.020999663626,27128.33799999727,47529.82099966362,27435.537999997272,47837.020999663626,EPSG:3414
tile_x61824_y8960.png,train,61824,8960,1024,1024,0.3,0.0,21214.737999997273,0.0,-0.3,47568.22099966362,21214.737999997273,47261.020999663626,21521.93799999727,47568.22099966362,EPSG:3414
tile_x63616_y8960.png,train,63616,8960,1024,1024,0.3,0.0,21752.33799999727,0.0,-0.3,47568.22099966362,21752.33799999727,47261.020999663626,22059.537999997272,47568.22099966362,EPSG:3414
tile_x67200_y8960.png,train,67200,8960,1024,1024,0.3,0.0,22827.537999997272,0.0,-0.3,47568.22099966362,22827.537999997272,47261.020999663626,23134.737999997273,47568.22099966362,EPSG:3414
tile_x68096_y8960.png,train,68096,8960,1024,1024,0.3,0.0,23096.33799999727,0.0,-0.3,47568.22099966362,23096.33799999727,47261.020999663626,23403.537999997272,47568.22099966362,EPSG:3414
tile_x68992_y8960.png,train,68992,8960,1024,1024,0.3,0.0,23365.13799999727,0.0,-0.3,47568.22099966362,23365.13799999727,47261.020999663626,23672.33799999727,47568.22099966362,EPSG:3414
tile_x69888_y8960.png,train,69888,8960,1024,1024,0.3,0.0,23633.93799999727,0.0,-0.3,47568.22099966362,23633.93799999727,47261.020999663626,23941.13799999727,47568.22099966362,EPSG:3414
tile_x71680_y8960.png,train,71680,8960,1024,1024,0.3,0.0,24171.537999997272,0.0,-0.3,47568.22099966362,24171.537999997272,47261.020999663626,24478.737999997273,47568.22099966362,EPSG:3414
tile_x74368_y8960.png,train,74368,8960,1024,1024,0.3,0.0,24977.93799999727,0.0,-0.3,47568.22099966362,24977.93799999727,47261.020999663626,25285.13799999727,47568.22099966362,EPSG:3414
tile_x77056_y8960.png,train,77056,8960,1024,1024,0.3,0.0,25784.33799999727,0.0,-0.3,47568.22099966362,25784.33799999727,47261.020999663626,26091.537999997272,47568.22099966362,EPSG:3414
tile_x77952_y8960.png,val,77952,8960,1024,1024,0.3,0.0,26053.13799999727,0.0,-0.3,47568.22099966362,26053.13799999727,47261.020999663626,26360.33799999727,47568.22099966362,EPSG:3414
tile_x78848_y8960.png,val,78848,8960,1024,1024,0.3,0.0,26321.93799999727,0.0,-0.3,47568.22099966362,26321.93799999727,47261.020999663626,26629.13799999727,47568.22099966362,EPSG:3414
tile_x82432_y8960.png,train,82432,8960,1024,1024,0.3,0.0,27397.13799999727,0.0,-0.3,47568.22099966362,27397.13799999727,47261.020999663626,27704.33799999727,47568.22099966362,EPSG:3414
tile_x60032_y9856.png,train,60032,9856,1024,1024,0.3,0.0,20677.13799999727,0.0,-0.3,47299.42099966362,20677.13799999727,46992.22099966362,20984.33799999727,47299.42099966362,EPSG:3414
tile_x60928_y9856.png,train,60928,9856,1024,1024,0.3,0.0,20945.93799999727,0.0,-0.3,47299.42099966362,20945.93799999727,46992.22099966362,21253.13799999727,47299.42099966362,EPSG:3414
tile_x61824_y9856.png,train,61824,9856,1024,1024,0.3,0.0,21214.737999997273,0.0,-0.3,47299.42099966362,21214.737999997273,46992.22099966362,21521.93799999727,47299.42099966362,EPSG:3414
tile_x62720_y9856.png,train,62720,9856,1024,1024,0.3,0.0,21483.537999997272,0.0,-0.3,47299.42099966362,21483.537999997272,46992.22099966362,21790.737999997273,47299.42099966362,EPSG:3414
tile_x63616_y9856.png,train,63616,9856,1024,1024,0.3,0.0,21752.33799999727,0.0,-0.3,47299.42099966362,21752.33799999727,46992.22099966362,22059.537999997272,47299.42099966362,EPSG:3414
tile_x66304_y9856.png,train,66304,9856,1024,1024,0.3,0.0,22558.737999997273,0.0,-0.3,47299.42099966362,22558.737999997273,46992.22099966362,22865.93799999727,47299.42099966362,EPSG:3414
tile_x67200_y9856.png,train,67200,9856,1024,1024,0.3,0.0,22827.537999997272,0.0,-0.3,47299.42099966362,22827.537999997272,46992.22099966362,23134.737999997273,47299.42099966362,EPSG:3414
tile_x68992_y9856.png,train,68992,9856,1024,1024,0.3,0.0,23365.13799999727,0.0,-0.3,47299.42099966362,23365.13799999727,46992.22099966362,23672.33799999727,47299.42099966362,EPSG:3414
