pid,lon,lat,viewheading,view_idx,path,d_ov,d_clw,d_cons,bearing,cand_label,cell_id
135824,103.83934466415285,1.303033823529756,119.01,4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\135824_103.83934466415285_1.303033823529756_202406_baseheading209.01_viewheading119.01_4.jpg,8.863036595396927,8.863036595396649,0.0,116.85796256971729,1,0
129006,103.88375723374757,1.3136841087385875,267.94,4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\129006_103.88375723374757_1.3136841087385875_202406_baseheading357.94_viewheading267.94_4.jpg,4.511181565921494,4.511181565921494,0.0,242.10115952046635,1,1
101381,103.85343952687224,1.3239547091735635,33.44,1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\101381_103.85343952687224_1.3239547091735635_202402_baseheading33.44_viewheading33.44_1.jpg,7.128757234568056,3.1634494903831842,105.03894525281126,2.610213945154435,1,2
124365,103.89977729745048,1.3130876766394608,180.19,1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\124365_103.89977729745048_1.3130876766394608_202406_baseheading180.19_viewheading180.19_1.jpg,10.805033866374222,10.671947549766001,0.0,211.6450125306456,1,3
62148,103.88791604189637,1.3159233771034824,298.13,4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\62148_103.88791604189637_1.3159233771034824_202406_baseheading28.13_viewheading298.13_4.jpg,8.40690656251131,4.860341326414232,84.36631235769788,281.00310791062816,1,4
134582,103.82929116861516,1.294929651672088,338.68,3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\134582_103.82929116861516_1.294929651672088_202402_baseheading158.68_viewheading338.68_3.jpg,4.66468557985303,4.664685579852429,69.10838428310409,25.514408348573614,1,5
91123,103.88370053020992,1.3151205484755886,91.99,2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\91123_103.88370053020992_1.3151205484755886_202406_baseheading1.99_viewheading91.99_2.jpg,7.998433195394372,5.413784178961276,148.6223386247084,77.02506503463282,1,6
118007,103.8610972837432,1.3106160146839265,321.19,2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\118007_103.8610972837432_1.3106160146839265_202406_baseheading231.19_viewheading321.19_2.jpg,6.890343187245673,6.460853039880103,2.2842728648599815,356.8351857126512,1,7
63977,103.7954435182898,1.3108943620987468,276.53,1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\63977_103.7954435182898_1.3108943620987468_200910_baseheading276.53_viewheading276.53_1.jpg,5.455735963700439,5.455735963700439,899.3946633851982,243.8148328220675,1,8
87752,103.85847422211779,1.3097139306514294,308.67,1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\87752_103.85847422211779_1.3097139306514294_202406_baseheading308.67_viewheading308.67_1.jpg,8.497864223312964,7.6789645977432865,8.019523398036817,286.78124080641226,1,9
96450,103.884645674948,1.313864163464027,99.58,4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\96450_103.884645674948_1.313864163464027_202406_baseheading189.58_viewheading99.58_4.jpg,4.314728594455029,4.314728594455585,0.0,140.99593759306774,1,10
94111,103.85441354178263,1.2962705949541289,131.68,1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\94111_103.85441354178263_1.2962705949541289_202406_baseheading131.68_viewheading131.68_1.jpg,6.100627855907337,5.83877357238329,40.1704094651452,83.08227182781363,1,11
49454,103.86031705802901,1.3116952247611986,313.47,4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49454_103.86031705802901_1.3116952247611986_202406_baseheading43.47_viewheading313.47_4.jpg,7.9033240190367735,5.87083140919429,0.0,298.4275228722424,1,12
126049,103.83853151133293,1.2978923137957579,129.29,2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\126049_103.83853151133293_1.2978923137957579_202402_baseheading39.29_viewheading129.29_2.jpg,8.808443815472305,7.295573696174174,224.90825020091356,80.85092123886555,1,13
9891,103.85122408719954,1.3015714717771039,239.7,1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\9891_103.85122408719954_1.3015714717771039_202402_baseheading239.70_viewheading239.70_1.jpg,7.929452398115501,7.8440542961903885,36.58829542010427,203.65091238155733,1,14
55882,103.83553459492043,1.2755882811107158,137.59,4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\55882_103.83553459492043_1.2755882811107158_202202_baseheading227.59_viewheading137.59_4.jpg,10.279950405197091,1.4110851262648052,0.0014525981790516895,150.09603919513515,1,15
90153,103.84951636719742,1.3253405333708366,33.91,3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\90153_103.84951636719742_1.3253405333708366_202402_baseheading213.91_viewheading33.91_3.jpg,10.391728804025526,6.212027653400873,0.0,358.47089378115425,1,16
2695,103.82383286024667,1.4421434430951348,303.36,3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\2695_103.82383286024667_1.4421434430951348_202305_baseheading123.36_viewheading303.36_3.jpg,9.581449473403051,9.354939743331974,1870.0054416483702,269.2594414719205,1,17
131629,103.89969593559692,1.3130053866778415,231.68,1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\131629_103.89969593559692_1.3130053866778415_202406_baseheading231.68_viewheading231.68_1.jpg,3.6459358837793947,3.360956421831025,0.0,189.4873245952393,1,18
35656,103.86059166535549,1.3129728261113882,44.63,3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\35656_103.86059166535549_1.3129728261113882_202406_baseheading224.63_viewheading44.63_3.jpg,6.986883371928349,4.780308274300902,5.961598040599678,70.4286823912164,1,19
161097,103.85790780765785,1.3143743203525398,297.76,3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161097_103.85790780765785_1.3143743203525398_202406_baseheading117.76_viewheading297.76_3.jpg,6.5236465222819495,3.451216235029908,3.9280888170016706,290.1899153410628,1,20
